k,averageTime
2,8274
4,17062
6,18711
8,25810
10,27256
12,29136
14,30263
16,37560
18,40000
20,41603
22,42907
24,44843
26,45790
28,47372
30,48026
32,56911
34,58726
36,59951
38,62171
40,63462
42,65715
44,67043
46,66901
48,68887
50,70774
52,72123
54,72530
56,74793
58,75623
60,78125
62,78095
64,89392
66,90893
68,93031
70,95040
72,95689
74,97735
76,99096
78,100740
80,102689
82,105358
84,106116
86,108338
88,109329
90,110416
92,111965
94,111843
96,114598
98,115406
100,117709
