k,averageTime
2,8252
4,16376
6,17975
8,24813
10,26118
12,27547
14,28411
16,35481
18,37421
20,39219
22,40501
24,42219
26,43523
28,44489
30,45335
32,53057
34,55064
36,55766
38,57449
40,58927
42,60425
44,61758
46,62645
48,63594
50,65363
52,66176
54,67010
56,68118
58,69228
60,70511
62,71392
64,80603
66,83592
68,85836
70,87832
72,89023
74,91025
76,90957
78,92399
80,95644
82,97561
84,99067
86,99692
88,101653
90,103019
92,104293
94,103969
96,106318
98,107195
100,108944
