n,averageTime
1000,25939
2000,31096
3000,34209
4000,37298
5000,39144
6000,40317
7000,41469
8000,42653
9000,44307
10000,44877
11000,45982
12000,46492
13000,47287
14000,47940
15000,48712
16000,49082
17000,50691
18000,51434
19000,51848
20000,51888
