n,averageTime
1000,27423
2000,32881
3000,36677
4000,38817
5000,41501
6000,42565
7000,43900
8000,45009
9000,46463
10000,46996
11000,48284
12000,49241
13000,49608
14000,51240
15000,50996
16000,51613
17000,53365
18000,54028
19000,54552
20000,54222
