n,averageTime
1000,134846
2000,241319
3000,350225
4000,474586
5000,591732
6000,663198
7000,793158
8000,907568
9000,1004671
10000,1090631
11000,1160980
12000,1320788
13000,1451634
14000,1602409
15000,1641853
16000,1729951
17000,1906041
18000,1993736
19000,2136991
20000,2265827
