n,averageTime
1000,681996
2000,737115
3000,903332
4000,1009642
5000,1040470
6000,981609
7000,893459
8000,861763
9000,1126882
10000,931034
11000,1025304
12000,1148564
13000,1028738
14000,1182461
15000,1070163
16000,1160809
17000,1054705
18000,1195913
19000,1074139
20000,1185024
