n,averageTime
1000,138971
2000,256758
3000,372882
4000,460810
5000,585788
6000,704909
7000,830414
8000,871475
9000,1008720
10000,1132022
11000,1250203
12000,1350532
13000,1442960
14000,1543209
15000,1668755
16000,1756841
17000,1847217
18000,1923795
19000,2053906
20000,2140899
